patient_id,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,gender,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000027,GOS-3,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,,Male,DSMZ,,,,,,CVCL_2050,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,central_nervous_system,glioma,glioblastoma,
ACH-000028,KPL-1,KPL1,KPL1_BREAST,,,Female,DSMZ,3.0,-3.4146547554709725,Adherent,DMEM + 10% FBS,69.6,CVCL_2094,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,50,SIDM00147,,breast,breast_carcinoma,ERpos_HER2neg,luminal
ACH-000029,HCC-827-GR5,HCC827GR5,HCC827GR5_LUNG,HCC827 GR5,,Female,Academic lab,2.0,-4.519949188347489,Adherent,RPMI; 5% FBS,49.1,CVCL_V622,,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000030,PC-14,PC14,PC14_LUNG,,753608.0,Male,RIKEN,3.0,-5.2573397440493865,Adherent,RPMI + 10% FBS,91.6,CVCL_1640,198.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00237,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000031,Panc 02.13,PANC0213,PANC0213_PANCREAS,,,Female,ATCC,,,,,,CVCL_1634,,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000032,MHH-CALL-3,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,,,,,,CVCL_0089,,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11,,,blood,ALL,b_cell,
ACH-000033,NCI-H1819,NCIH1819,NCIH1819_LUNG,,,Female,Academic lab,,,,,,CVCL_1497,,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000034,,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"PLB985, PLB-985",,Female,Academic lab,,,,,,CVCL_2162,,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),,SIDM00811,,blood,AML,,
ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,,687800.0,Male,ATCC,2.0,-3.023295750344012,Adherent,RPMI + 10% FBS,91.5,CVCL_1483,1548.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,SIDM00745,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000036,U343,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2.0,-3.536064023583529,Adherent,DMEM; 10% FBS,82.2,CVCL_4773,,central_nervous_system,,Brain Cancer,Glioblastoma,64,,,central_nervous_system,glioma,glioblastoma,
ACH-000037,S-117,S117,S117_THYROID,,,Female,DSMZ,2.0,-4.075906648224997,,RPMI + 10% FBS,76.4,CVCL_1674,,soft_tissue,,Sarcoma,Thyroid Sarcoma,47,SIDM00035,,soft_tissue,thyroid_sarcoma,,
ACH-000038,EHEB,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,Female,DSMZ,,,,,,CVCL_1194,39.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69,SIDM01049,,lymphocyte,lymphoma_unspecified,b_cell,
ACH-000039,SK-N-MC,SKNMC,SKNMC_BONE,,,Female,ATCC,3.0,-2.627972269149652,Adherent,EMEM + 10% FBS,65.3,CVCL_0530,,bone,Metastasis,Bone Cancer,Ewings Sarcoma,14,SIDM00634,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000040,U-118 MG,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,Male,ATCC,2.0,-3.785502015904844,Adherent,DMEM + 10% FBS,69.1,CVCL_0633,7.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,,central_nervous_system,glioma,astrocytoma,
ACH-000041,RD-ES,RDES,RDES_BONE,,,Male,ATCC,2.0,-2.7316373364607416,Adherent,RPMI + 15% FBS,88.3,CVCL_2169,,bone,Primary,Bone Cancer,Ewings Sarcoma,19,,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000042,Panc 02.03,PANC0203,PANC0203_PANCREAS,,1298475.0,Female,ATCC,4.0,-3.3422965160792035,Adherent,RPMI + 10% FBS + 1mM Sodium pyruvate,88.9,CVCL_1633,1838.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70,SIDM01139,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000043,Hs 895.T,HS895T,HS895T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0993,,fibroblast,Metastasis,Fibroblast,Skin,48,,,fibroblast,fibroblast_skin,,
ACH-000044,MDA-MB-134-VI,MDAMB134VI,MDAMB134VI_BREAST,,,Female,ATCC,,,,,,CVCL_0617,,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,47,SIDM00005,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal
ACH-000045,MV4;11,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,Male,ATCC,2.0,-2.880622685012522,Suspension,IMDM + 10% FBS,89.0,CVCL_0064,133.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10,SIDM00657,,blood,AML,,
ACH-000046,ACHN,ACHN,ACHN_KIDNEY,,905950.0,Male,ATCC,,,,,,CVCL_1067,371.0,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22,SIDM00123,,kidney,renal_cell_carcinoma,,
ACH-000047,GCIY,GCIY,GCIY_STOMACH,,906869.0,Female,RIKEN,2.0,-5.02342582263254,,MEM + 15% FBS,89.6,CVCL_1228,1414.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00274,,gastric,gastric_adenocarcinoma,,
ACH-000048,TOV-112D,TOV112D,TOV112D_OVARY,,1299070.0,Female,ATCC,2.0,-3.090794127092966,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,47.6,CVCL_3612,5.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42,SIDM01170,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000049,HEK TE,HEKTE,HEKTE_KIDNEY,,,Unknown,Academic lab,,,,,,CVCL_WS59,,kidney,,Engineered,,,,,engineered_kidney,,,
ACH-000050,NCI-H929,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,Female,ATCC,,,,,,CVCL_1600,1230.0,pleural_effusion,Metastasis,Myeloma,"Multiple Myeloma, plasmacytoma",62,SIDM01148,,plasma_cell,multiple_myeloma,plasmacytoma,
ACH-000051,TE 617.T,TE617T,TE617T_SOFT_TISSUE,,,Female,ATCC,,,,,,CVCL_1755,,soft_tissue,Primary,Sarcoma,Rhabdomyosarcoma,1.67,,,soft_tissue,rhabdomyosarcoma,,
ACH-000052,A-673,A673,A673_BONE,,684052.0,Female,ATCC,2.0,-2.945665017313434,Adherent,DMEM + 10% FBS,67.2,CVCL_0080,660.0,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15,SIDM00848,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000053,KARPAS-299,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,Male,Academic lab,3.0,-5.35130251500497,Suspension,RPMI + 20% FBS + 2mM Glutamine,55.5,CVCL_1324,906.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,SIDM01010,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,
ACH-000054,HT-1080,HT1080,HT1080_SOFT_TISSUE,,907064.0,Male,ATCC,2.0,-3.871935080003693,Adherent,EMEM + 10% FBS,85.9,CVCL_0317,1391.0,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35,SIDM00828,,soft_tissue,fibrosarcoma,,
ACH-000055,D283 Med,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,Male,ATCC,3.0,-3.772760016781533,Adherent,EMEM + 10% FBS,69.3,CVCL_1155,1184.0,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6,SIDM00888,,central_nervous_system,medulloblastoma,med_group_3,MYC_exp
ACH-000056,DOHH-2,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,Male,DSMZ,,,,,,CVCL_1179,1339.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),60,SIDM00981,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000057,OPM-1,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,Academic lab,,,,,,CVCL_5210,,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,SIDM00456,,plasma_cell,multiple_myeloma,,
ACH-000058,ML-1,ML1,ML1_THYROID,,1240178.0,Unknown,DSMZ,,,,,,CVCL_H525,1227.0,thyroid,,Thyroid Cancer,"Carcinoma, follicular",,SIDM00442,,thyroid,thyroid_carcinoma,follicular,
ACH-000059,SUP-B15,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,Male,ATCC,,,,,,CVCL_0103,786.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9,SIDM01176,,blood,ALL,b_cell,
ACH-000060,Panc 10.05,PANC1005,PANC1005_PANCREAS,,925348.0,Male,ATCC,2.0,-3.4226334208013616,Adherent,RPMI + 15% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 60ug/ml Insulin + 10mM HEPES + 1.5g/l Sodium bicarbonate + 4.5g/l Glucose,93.2,CVCL_1639,197.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM01135,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000061,HH,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,Male,ATCC,,,,,,CVCL_1280,310.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61,SIDM00671,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000062,RERF-LC-MS,RERFLCMS,RERFLCMS_LUNG,,910931.0,Male,JCRB,,,,,,CVCL_1655,2051.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00355,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000063,,HS616T,HS616T_FIBROBLAST,,,Male,,,,,,,CVCL_0825,,fibroblast,,Fibroblast,Lymphoma,16,,,fibroblast,fibroblast_lymphocyte,,
ACH-000064,SALE,SALE,SALE_LUNG,,,Unknown,Academic lab,,,,,,CVCL_WS60,,lung,,Engineered,,,,,engineered_lung,,,
ACH-000065,OCI-AML5,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,Male,DSMZ,,,,,,CVCL_1620,2130.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),77,SIDM00461,,blood,AML,,
ACH-000066,HCC4006,HCC4006,HCC4006_LUNG,,,Male,ATCC,,,,,,CVCL_1269,,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000067,Hs 683,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,Male,ATCC,2.0,-3.664959708798694,Adherent,DMEM + 10% FBS,60.7,CVCL_0844,769.0,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76,SIDM00666,,central_nervous_system,glioma,oligodendroglioma,
ACH-000068,REC-1,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1884,,lymph_node,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",61,,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,
ACH-000069,Hs 611.T,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,,,,,,CVCL_0823,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",48,,,lymphocyte,hodgkin_lymphoma,,
ACH-000070,697,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,Male,DSMZ,2.0,-3.463143116600231,Adherent,RPMI + 20% heat inactivated FBS,52.0,CVCL_0079,63.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,,blood,ALL,b_cell,
ACH-000071,,HS706T,HS706T_BONE,,,Female,ATCC,,,,,,CVCL_0863,,fibroblast,,Fibroblast,Bone,16,,,fibroblast,fibroblast_bone,,
ACH-000072,MEG-01,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,Male,ATCC,0.0,-0.8617775749954423,Mixed adherent and suspension,RPMI + 10% FBS,42.7,CVCL_0425,1263.0,bone_marrow,,Leukemia,Chronic Myelogenous Leukemia (CML),55,SIDM00526,,blood,CML,,
ACH-000073,GRANTA-519,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,Female,DSMZ,,,,,,CVCL_1818,1776.0,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",58,SIDM01058,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,
ACH-000074,KU812,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,Male,ATCC,2.0,-3.287602522717895,,RPMI + 10% FBS,72.3,CVCL_0379,598.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",38,SIDM00308,,blood,CML,blast_crisis,
ACH-000075,U-87 MG,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,Unknown,ATCC,2.0,-2.318958160370993,Adherent,EMEM + 10% FBS,62.1,CVCL_0022,549.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44,SIDM01189,,central_nervous_system,glioma,astrocytoma,
ACH-000076,NCO2,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,2.0,-3.9335796749184095,,RPMI + 10% FBS,55.0,CVCL_3043,,haematopoietic_and_lymphoid_tissue,,Leukemia,Chronic Myelogenous Leukemia (CML),35,,,blood,CML,,
ACH-000077,MJ,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2.0,-2.6078181473662045,Suspension,IMDM + 10% FBS,50.0,CVCL_1414,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",50,,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000078,MHH-NB-11,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,Male,DSMZ,3.0,-2.124524035701905,Adherent,RPMI + 10% FBS,60.3,CVCL_1412,1818.0,autonomic_ganglia,Metastasis,Neuroblastoma,,4,SIDM00387,,peripheral_nervous_system,neuroblastoma,,MYCN_amp
ACH-000079,TE 125.T,TE125T,TE125T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_1740,,fibroblast,,Fibroblast,Soft tissue,1,,,fibroblast,fibroblast_soft_tissue,,
ACH-000080,BDCM,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,0.0,-1.0975210552208097,,RPMI + 10% FBS,74.2,CVCL_4613,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",,,,blood,AML,M5,
ACH-000081,GDM-1,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,Female,ATCC,,,,,,CVCL_1230,164.0,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),66,SIDM01057,,blood,AML,,
ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,Female,ATCC,2.0,-4.365853783316597,Adherent,McCoy's 5A + 10% FBS,75.2,CVCL_2909,661.0,bone,Primary,Bone Cancer,Osteosarcoma,9,SIDM00858,,bone,osteosarcoma,,
ACH-000083,Hs 281.T,HS281T,HS281T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0715,,fibroblast,,Fibroblast,Breast,37,,,fibroblast,fibroblast_breast,,
ACH-000084,,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3,,Male,DSMZ,,,,,,CVCL_1433,,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),29,,,blood,AML,,
ACH-000085,T3M-4,T3M4,T3M4_PANCREAS,,,Male,RIKEN,1.0,-2.8620326229823,Adherent,F12 + 10% FBS,92.9,CVCL_4056,,lymph_node,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000086,ACC-MESO-1,ACCMESO1,ACCMESO1_PLEURA,,,Female,RIKEN,2.0,-4.054069394672587,,RPMI + 10% FBS + Glutamax + Sodium pyruvate,78.6,CVCL_5113,,pleura,,Lung Cancer,Mesothelioma,61,,,lung,mesothelioma,,
ACH-000087,SK-ES-1,SKES1,SKES1_BONE,,684072.0,Male,ATCC,2.0,-3.0821322602807237,,McCoy's 5A + 15% FBS,58.0,CVCL_0627,41.0,bone,Primary,Bone Cancer,Ewings Sarcoma,18,SIDM01111,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000088,,HS172T,HS172T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0660,,fibroblast,,Fibroblast,Bladder,50,,,fibroblast,fibroblast_urinary_tract,,
ACH-000089,NCI-H684,NCIH684,NCIH684_LARGE_INTESTINE,,,Male,KCLB,,,,,,CVCL_9980,,liver,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,55,,,colorectal,colorectal_adenocarcinoma,,
